"","animal_id","bev_resp","neg_mean","wk_mean","plus_one_mean","test_stat","p_val"
"1",2747,"poor",0.0571428571428571,0.585714285714286,0.314285714285714,0.437953091684435,0.803340559608909
"2",3132,"poor",0,0.171428571428571,0.828571428571429,1.14775510204082,0.563336830919023
"3",3209,"poor",0.0357142857142857,0.757142857142857,0.207142857142857,0.85234693877551,0.653003056254774
"4",6451,"poor",0.0214285714285714,0.25,0.628571428571429,0.62687074829932,0.7309316145544
"5",6495,"poor",0,0.135714285714286,0.771428571428571,1.12182227221597,0.57068885167357
"6",6919,"good",0.2,0.635714285714286,0.164285714285714,0.413367346938775,0.813276870353439
"7",7244,"good",0.135714285714286,0.821428571428571,0.0428571428571429,1.085,0.581293201314718
"8",7436,"good",0.107142857142857,0.75,0.142857142857143,0.783163265306123,0.67598686564101
"9",7911,"good",0,0.578571428571429,0.392857142857143,0.538970588235294,0.763772511388474
"10",8007,"good",0.0714285714285714,0.735714285714286,0.192857142857143,0.750714285714286,0.687043862161268
