PATIENT,RAMP3|10268
TCGA-76-4925-01A-01R-1850-01,6.979122
TCGA-26-1442-01A-01R-1850-01,6.362461
TCGA-06-0747-01A-01R-1849-01,5.74517
TCGA-06-5414-01A-01R-1849-01,5.539407
TCGA-28-5215-01A-01R-1850-01,8.74874
TCGA-02-0055-01A-01R-1849-01,6.494065
TCGA-28-1747-01C-01R-1850-01,9.327564
TCGA-06-1804-01A-01R-1849-01,9.718781
TCGA-14-1829-01A-01R-1850-01,9.253034
TCGA-28-2509-01A-01R-1850-01,6.595316
TCGA-02-2485-01A-01R-1849-01,7.698128
TCGA-26-5139-01A-01R-1850-01,8.574586
TCGA-76-4926-01B-01R-1850-01,8.871948
TCGA-27-1832-01A-01R-1850-01,10.791
TCGA-12-3652-01A-01R-1849-01,6.67101
TCGA-06-0129-01A-01R-1849-01,5.736878
TCGA-28-2499-01A-01R-1850-01,8.171247
TCGA-28-1753-01A-01R-1850-01,8.619424
TCGA-12-0616-01A-01R-1849-01,11.08174
TCGA-06-0882-01A-01R-1849-01,7.577988
TCGA-06-0178-01A-01R-1849-01,9.032803
TCGA-14-1034-01A-01R-1849-01,8.245073
TCGA-32-2632-01A-01R-1850-01,11.14082
TCGA-06-0174-01A-01R-1849-01,8.522056
TCGA-28-5220-01A-01R-1850-01,8.589539
TCGA-32-2615-01A-01R-1850-01,9.243612
TCGA-27-2528-01A-01R-1850-01,8.219173
TCGA-06-2565-01A-01R-1849-01,6.405286
TCGA-19-4065-01A-01R-2005-01,5.371029
TCGA-26-5132-01A-01R-1850-01,10.78427
TCGA-14-1825-01A-01R-1850-01,7.178047
TCGA-02-2483-01A-01R-1849-01,5.567971
TCGA-15-0742-01A-01R-1850-01,8.316938
TCGA-06-5408-01A-01R-1849-01,6.711633
TCGA-06-5410-01A-01R-1849-01,8.285023
TCGA-26-5136-01B-01R-1850-01,9.713579
TCGA-32-1982-01A-01R-1850-01,8.48888
TCGA-06-0750-01A-01R-1849-01,10.23179
TCGA-06-2570-01A-01R-1849-01,7.072277
TCGA-14-0789-01A-01R-1849-01,7.469626
TCGA-06-5413-01A-01R-1849-01,10.37851
TCGA-26-5134-01A-01R-1850-01,8.405631
TCGA-08-0386-01A-01R-1849-01,6.92077
TCGA-06-2562-01A-01R-1849-01,6.981761
TCGA-19-2620-01A-01R-1850-01,7.731577
TCGA-41-5651-01A-01R-1850-01,6.852773
TCGA-14-0871-01A-01R-1849-01,4.546228
TCGA-41-4097-01A-01R-1850-01,7.824214
TCGA-06-0158-01A-01R-1849-01,10.03313
TCGA-06-0187-01A-01R-1849-01,6.976661
TCGA-06-0211-01B-01R-1849-01,7.307128
TCGA-12-3650-01A-01R-1849-01,7.659632
TCGA-06-0219-01A-01R-1849-01,7.610449
TCGA-19-2629-01A-01R-1850-01,6.760061
TCGA-28-5216-01A-01R-1850-01,8.420819
TCGA-06-2569-01A-01R-1849-01,8.179163
TCGA-27-1835-01A-01R-1850-01,5.364135
TCGA-19-1787-01B-01R-1850-01,9.741243
TCGA-27-1834-01A-01R-1850-01,9.666462
TCGA-14-0817-01A-01R-1849-01,7.639818
TCGA-06-0190-01A-01R-1849-01,7.663857
TCGA-06-0745-01A-01R-1849-01,7.619031
TCGA-06-0743-01A-01R-1849-01,7.766502
TCGA-06-2564-01A-01R-1849-01,5.911931
TCGA-28-5207-01A-01R-1850-01,9.290834
TCGA-28-5208-01A-01R-1850-01,8.169309
TCGA-14-0781-01B-01R-1849-01,6.447359
TCGA-06-0132-01A-02R-1849-01,9.587583
TCGA-06-5858-01A-01R-1849-01,7.841407
TCGA-06-0156-01A-03R-1849-01,7.203671
TCGA-27-2519-01A-01R-1850-01,11.12057
TCGA-06-0141-01A-01R-1849-01,6.412594
TCGA-14-0790-01B-01R-1849-01,8.57958
TCGA-06-5416-01A-01R-1849-01,7.249388
TCGA-27-1837-01A-01R-1850-01,9.424695
TCGA-06-0211-01A-01R-1849-01,7.284098
TCGA-32-2616-01A-01R-1850-01,6.170123
TCGA-06-0138-01A-02R-1849-01,10.20962
TCGA-12-1597-01B-01R-1849-01,8.983196
TCGA-28-5204-01A-01R-1850-01,6.90647
TCGA-06-0645-01A-01R-1849-01,9.616749
TCGA-06-5856-01A-01R-1849-01,7.775103
TCGA-06-0184-01A-01R-1849-01,7.720463
TCGA-06-5859-01A-01R-1849-01,5.85916
TCGA-76-4927-01A-01R-1850-01,8.972133
TCGA-28-5209-01A-01R-1850-01,4.860461
TCGA-12-3653-01A-01R-1849-01,7.913063
TCGA-06-2557-01A-01R-1849-01,7.047048
TCGA-27-2524-01A-01R-1850-01,7.562639
TCGA-28-2510-01A-01R-1850-01,7.892482
TCGA-06-0156-01A-02R-1849-01,6.721291
TCGA-16-0846-01A-01R-1850-01,11.28846
TCGA-06-2558-01A-01R-1849-01,7.419556
TCGA-06-0878-01A-01R-1849-01,4.60397
TCGA-28-5218-01A-01R-1850-01,7.852142
TCGA-02-2486-01A-01R-1849-01,11.71379
TCGA-28-2514-01A-02R-1850-01,6.342812
TCGA-02-0047-01A-01R-1849-01,8.584681
TCGA-15-1444-01A-02R-1850-01,6.146722
TCGA-06-5411-01A-01R-1849-01,8.785116
TCGA-27-2521-01A-01R-1850-01,6.767403
TCGA-28-2513-01A-01R-1850-01,8.035486
TCGA-12-5295-01A-01R-1849-01,5.399533
TCGA-06-0210-01A-01R-1849-01,6.913548
TCGA-32-1970-01A-01R-1850-01,9.646011
TCGA-41-2571-01A-01R-1850-01,8.875571
TCGA-06-0238-01A-02R-1849-01,8.746477
TCGA-14-0787-01A-01R-1849-01,8.168156
TCGA-06-0649-01B-01R-1849-01,8.944449
TCGA-19-2619-01A-01R-1850-01,8.175954
TCGA-14-1823-01A-01R-1849-01,11.32187
TCGA-06-5417-01A-01R-1849-01,4.023894
TCGA-06-5415-01A-01R-1849-01,8.881435
TCGA-27-2523-01A-01R-1850-01,6.007274
TCGA-19-5960-01A-11R-1850-01,7.387475
TCGA-32-4213-01A-01R-1850-01,10.09079
TCGA-06-2563-01A-01R-1849-01,6.107784
TCGA-76-4928-01B-01R-1850-01,7.782055
TCGA-76-4931-01A-01R-1850-01,7.388775
TCGA-26-5135-01A-01R-1850-01,10.03058
TCGA-06-0130-01A-01R-1849-01,7.384266
TCGA-12-0619-01A-01R-1849-01,8.532773
TCGA-06-0744-01A-01R-1849-01,8.455245
TCGA-06-5412-01A-01R-1849-01,6.466634
TCGA-06-0644-01A-02R-1849-01,6.225477
TCGA-27-1831-01A-01R-1850-01,9.235078
TCGA-19-2624-01A-01R-1850-01,7.781897
TCGA-06-0646-01A-01R-1849-01,10.60581
TCGA-41-3915-01A-01R-1850-01,10.43161
TCGA-06-0168-01A-01R-1849-01,10.89533
TCGA-12-0618-01A-01R-1849-01,8.330451
TCGA-12-0821-01A-01R-1849-01,7.682124
TCGA-06-5418-01A-01R-1849-01,8.19141
TCGA-06-0157-01A-01R-1849-01,6.300578
TCGA-06-2559-01A-01R-1849-01,7.996954
TCGA-26-5133-01A-01R-1850-01,7.993363
TCGA-06-2567-01A-01R-1849-01,10.13817
TCGA-06-0125-01A-01R-1849-01,9.303977
TCGA-32-2638-01A-01R-1850-01,8.89315
TCGA-06-0749-01A-01R-1849-01,10.03918
TCGA-76-4932-01A-01R-1850-01,6.713971
TCGA-32-1980-01A-01R-1850-01,7.853359
TCGA-06-2561-01A-02R-1849-01,6.792582
TCGA-32-2634-01A-01R-1850-01,8.245363
TCGA-27-2526-01A-01R-1850-01,8.422632
TCGA-19-1390-01A-01R-1850-01,6.371827
TCGA-27-1830-01A-01R-1850-01,9.501754
TCGA-06-0686-01A-01R-1849-01,8.712266
TCGA-16-1045-01B-01R-1850-01,8.518582
TCGA-41-2572-01A-01R-1850-01,6.971279
TCGA-12-5299-01A-02R-1849-01,9.770025
TCGA-32-5222-01A-01R-1850-01,6.967895
TCGA-76-4929-01A-01R-1850-01,9.21016
TCGA-14-2554-01A-01R-1850-01,10.06786
TCGA-19-2625-01A-01R-1850-01,9.04024
TCGA-28-5213-01A-01R-1850-01,11.08344
